id,name,team_id,competition_id,position,photo_url,overall,pos1,pos2,pos3
11,Craque Fictício 1,901,,Atacante,,-1,,,
12,Craque Fictício 2,902,,Atacante,,-1,,,
13,Craque Fictício 3,903,,Atacante,,-1,,,
14,Craque Fictício 4,904,,Atacante,,-1,,,
15,Craque Fictício 5,905,,Atacante,,-1,,,
16,Craque Fictício 6,906,,Atacante,,-1,,,
17,Craque Fictício 7,907,,Atacante,,-1,,,
18,Craque Fictício 8,908,,Atacante,,-1,,,
19,Craque Fictício 9,909,,Atacante,,-1,,,
20,Craque Fictício 10,910,,Atacante,,-1,,,
21,F. Ferreira,116,12,Goalkeeper,https://media.api-sports.io/football/players/634326.png,-1,,,
22,João Paulo,116,12,Goalkeeper,https://media.api-sports.io/football/players/9979.png,-1,,,
23,Léo Vieira,116,12,Goalkeeper,https://media.api-sports.io/football/players/10109.png,-1,,,
24,Ronaldo,116,12,Goalkeeper,https://media.api-sports.io/football/players/9512.png,-1,,,
25,Victor,116,12,Goalkeeper,https://media.api-sports.io/football/players/407275.png,-1,,,
26,David Duarte,116,12,Defender,https://media.api-sports.io/football/players/10351.png,-1,,,
27,DodÃ´,116,12,Defender,https://media.api-sports.io/football/players/454143.png,-1,,,
28,Fred,116,12,Defender,https://media.api-sports.io/football/players/505598.png,-1,,,
29,Gabriel Xavier,116,12,Defender,https://media.api-sports.io/football/players/353728.png,-1,,,
30,Gerald,116,12,Defender,https://media.api-sports.io/football/players/463667.png,-1,,,
31,Gilberto,116,12,Defender,https://media.api-sports.io/football/players/10305.png,-1,,,
32,Roman Gomez,116,12,Defender,https://media.api-sports.io/football/players/459837.png,-1,,,
33,Iago,116,12,Defender,https://media.api-sports.io/football/players/10375.png,-1,,,
34,Kanu,116,12,Defender,https://media.api-sports.io/football/players/10059.png,-1,,,
35,Luciano Juba,116,12,Defender,https://media.api-sports.io/football/players/197383.png,-1,,,
36,Luiz Gustavo,116,12,Defender,https://media.api-sports.io/football/players/454562.png,-1,,,
37,Marcos Victor,116,12,Defender,https://media.api-sports.io/football/players/350808.png,-1,,,
38,S. Ramos,116,12,Defender,https://media.api-sports.io/football/players/129880.png,-1,,,
39,Zé Guilherme,116,12,Defender,https://media.api-sports.io/football/players/411433.png,-1,,,
40,Caio Alexandre,116,12,Midfielder,https://media.api-sports.io/football/players/180236.png,-1,,,
41,David Martins,116,12,Midfielder,https://media.api-sports.io/football/players/510204.png,-1,,,
42,Erick,116,12,Midfielder,https://media.api-sports.io/football/players/10130.png,-1,,,
43,Éverton Ribeiro,116,12,Midfielder,https://media.api-sports.io/football/players/10168.png,-1,,,
44,Jean Lucas,116,12,Midfielder,https://media.api-sports.io/football/players/9994.png,-1,,,
45,N. Acevedo,116,12,Defender,https://media.api-sports.io/football/players/51545.png,-1,,,
46,Pedro Henrique,116,12,Midfielder,https://media.api-sports.io/football/players/454146.png,-1,,,
47,Rodrigo Nestor,116,12,Midfielder,https://media.api-sports.io/football/players/9954.png,-1,,,
48,Roger,116,12,Midfielder,https://media.api-sports.io/football/players/409289.png,-1,,,
49,Sidney,116,12,Midfielder,https://media.api-sports.io/football/players/407265.png,-1,,,
50,Wendel Silva,116,12,Midfielder,https://media.api-sports.io/football/players/454145.png,-1,,,
51,Ademir,116,12,Attacker,https://media.api-sports.io/football/players/9854.png,-1,,,
52,C. Suassuna,116,12,Attacker,https://media.api-sports.io/football/players/607365.png,-1,,,
53,Dell,116,12,Attacker,https://media.api-sports.io/football/players/510677.png,-1,,,
54,Erick Pulga,116,12,Attacker,https://media.api-sports.io/football/players/303127.png,-1,,,
55,Everaldo,116,12,Attacker,https://media.api-sports.io/football/players/10222.png,-1,,,
56,João Coni,116,12,Attacker,https://media.api-sports.io/football/players/409288.png,-1,,,
57,Çağatay Yılmaz,116,12,Attacker,https://media.api-sports.io/football/players/525667.png,-1,,,
58,Lyan Araujo,116,12,Attacker,https://media.api-sports.io/football/players/544701.png,-1,,,
59,M. Araújo,116,12,Midfielder,https://media.api-sports.io/football/players/51701.png,-1,,,
60,R. Nascimento,116,12,Attacker,https://media.api-sports.io/football/players/634401.png,-1,,,
61,C. Olivera,116,12,Attacker,https://media.api-sports.io/football/players/67902.png,-1,,,
62,Ruan Roger,116,12,Attacker,https://media.api-sports.io/football/players/633434.png,-1,,,
63,Ruan Pablo,116,12,Attacker,https://media.api-sports.io/football/players/454147.png,-1,,,
64,M. Sanabria,116,12,Attacker,https://media.api-sports.io/football/players/355253.png,-1,,,
65,Willian José,116,12,Attacker,https://media.api-sports.io/football/players/47319.png,-1,,,
66,Anthoni,125,12,Goalkeeper,https://media.api-sports.io/football/players/306552.png,-1,,,
67,Diego Esser,125,12,Goalkeeper,https://media.api-sports.io/football/players/624986.png,-1,,,
68,Kauan,125,12,Goalkeeper,https://media.api-sports.io/football/players/415046.png,-1,,,
69,S. Rochet,125,12,Goalkeeper,https://media.api-sports.io/football/players/50077.png,-1,,,
70,B. Aguirre,125,12,Defender,https://media.api-sports.io/football/players/288720.png,-1,,,
71,Alisson,125,12,Defender,https://media.api-sports.io/football/players/577746.png,-1,,,
72,A. Bernabéi,125,12,Defender,https://media.api-sports.io/football/players/129902.png,-1,,,
73,Eduardo Carlos,125,12,Defender,https://media.api-sports.io/football/players/633308.png,-1,,,
74,Clayton,125,12,Defender,https://media.api-sports.io/football/players/279579.png,-1,,,
75,Juninho,125,12,Defender,https://media.api-sports.io/football/players/9912.png,-1,,,
76,Lazaro,125,12,Defender,https://media.api-sports.io/football/players/633307.png,-1,,,
77,D. Marfo,125,12,Defender,https://media.api-sports.io/football/players/638214.png,-1,,,
78,Matheus Bahia,125,12,Defender,https://media.api-sports.io/football/players/197051.png,-1,,,
79,G. Mercado,125,12,Defender,https://media.api-sports.io/football/players/2044.png,-1,,,
80,Pablo,125,12,Defender,https://media.api-sports.io/football/players/505150.png,-1,,,
81,Pedro Kauã,125,12,Defender,https://media.api-sports.io/football/players/463956.png,-1,,,
